TYPE_EDC,Category,sub_category,dep_methods,useful_life,ori_currency,acq_cost,exchange,equal_idr,purchase_date,depre_exp,acc_exp,nbv,invoice,po,Adaptor_S_N,Adaptor_S_N,node,user,bussines_unit,City,MID,note,parent_id,Area,OS,application,Merch_Program,T_I_D,owner
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470306117,3470306117,,aodofficer,Acquiring Operation Department,MAKASSAR,80447900,,,MAKASSAR,,,,81094501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470305906,3470305906,,aodofficer,Acquiring Operation Department,Banjarmasin,62147900,,4324480,BALIKPAPAN,,,,66000201,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470305728,3470305728,,aodofficer,Acquiring Operation Department,MEDAN,50661700,,,MEDAN,,,-,56106603,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470305531,3470305531,,aodofficer,Acquiring Operation Department,MEDAN,50484300,,,MEDAN,,,-,54008201,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470302640,3470302640,,aodofficer,Acquiring Operation Department,Pekanbaru,53139100,,,Batam,,,,53202301,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301965,3470301965,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3160677,Bandung,,,,59107921,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301867,3470301867,,aodofficer,Acquiring Operation Department,MEDAN,50689106,,,MEDAN,,,-,56109507,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301494,3470301494,,aodofficer,Acquiring Operation Department,BINJAI,50495502,,,MEDAN,,,-,54009302,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301391,3470301391,,aodofficer,Acquiring Operation Department,Semarang,30771100,,,Semarang,,,,59904701,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301262,3470301262,,aodofficer,Acquiring Operation Department,Semarang,30606100,,,Semarang,,,,52007803,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301205,3470301205,,aodofficer,Acquiring Operation Department,Sampit,74318300,,1775730,BALIKPAPAN,,,,51000902,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301183,3470301183,,aodofficer,Acquiring Operation Department,YOGYAKARTA,36678300,,659404,YOGYAKARTA,,,-,3800 41 01,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301128,3470301128,,aodofficer,Acquiring Operation Department,Padang,26357300,,,Batam,,,,88106501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470300992,3470300992,,aodofficer,Acquiring Operation Department,Semarang,30778700,,,Semarang,,,,59905401,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470300949,3470300949,,aodofficer,Acquiring Operation Department,YOGYAKARTA,36679100,,3083973,YOGYAKARTA,,,-,3800 42 01,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,2002204148,2002204148,,aodofficer,Acquiring Operation Department,YOGYAKARTA,36666700,,2927989,YOGYAKARTA,,,-,3800 27 01,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,993805037,993805037,,aodofficer,Acquiring Operation Department,Batam,29157546,,,Batam,,,,20005552,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,991203024,991203024,,aodofficer,Acquiring Operation Department,Batam,29157568,,,Batam,,,,20005574,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,991203020,991203020,,aodofficer,Acquiring Operation Department,MEDAN,50607500,,,MEDAN,,,-,56100901,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990603310,990603310,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3084840,Bandung,,,,59107929,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990603286,990603286,,aodofficer,Acquiring Operation Department,Bengkulu,93304300,,,Batam,,,,82000501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990603272,990603272,,aodofficer,Acquiring Operation Department,Bukittinggi,26336500,,,Batam,,,,88104401,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990603014,990603014,,aodofficer,Acquiring Operation Department,Tegal,30757900,,1775785,Semarang,,,,59903305,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990603007,990603007,,aodofficer,Acquiring Operation Department,Padang,26327300,,,Batam,,,,88103501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990603006,990603006,,aodofficer,Acquiring Operation Department,Semarang,30676100,,,Semarang,,,,59005101,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990503432,990503432,,aodofficer,Acquiring Operation Department,MEDAN,50493900,,,MEDAN,,,-,54009101,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990503406,990503406,,aodofficer,Acquiring Operation Department,BINJAI,50410301,,,MEDAN,,,-,54000103,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990503260,990503260,,aodofficer,Acquiring Operation Department,Semarang,30676100,,,Semarang,,,,59005103,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990503255,990503255,,aodofficer,Acquiring Operation Department,PALU,78009800,,,MAKASSAR,,,,78000101-78000102,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990503172,990503172,,aodofficer,Acquiring Operation Department,Banjarmasin,62146100,,3180849,BALIKPAPAN,,,,66000101,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990503122,990503122,,aodofficer,Acquiring Operation Department,Samarinda,33149900,,1775622,BALIKPAPAN,,,,64101701,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990503118,990503118,,aodofficer,Acquiring Operation Department,Samarinda,33122700,,1775989,BALIKPAPAN,,,,33108901,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990503053,990503053,,aodofficer,Acquiring Operation Department,Sampit,74322500,,,BALIKPAPAN,,,,51001801,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990403879,990403879,,aodofficer,Acquiring Operation Department,Sampit,74327500,,,BALIKPAPAN,,,,51001501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990403863,990403863,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60200900,,2928012,BALIKPAPAN,,,,60008801,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990403846,990403846,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60072600,,3085163,BALIKPAPAN,,,,60001401,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990403829,990403829,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60142701,,3180663,BALIKPAPAN,,,,65001502,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990403824,990403824,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60155500,,2961782,BALIKPAPAN,,,,60003401,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990403558,990403558,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3180674,Bandung,,,,59107927,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990403458,990403458,,aodofficer,Acquiring Operation Department,Batam,29157566,,,Batam,,,,20005572,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990403271,990403271,,aodofficer,Acquiring Operation Department,MEDAN,50942300,,,MEDAN,,,-,58113201,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990403006,990403006,,aodofficer,Acquiring Operation Department,Bukittinggi,26331500,,,Batam,,,,88103901,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990344009,990344009,,aodofficer,Acquiring Operation Department,PALU,78001500,,,MAKASSAR,,,,80004101,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990304008,990304008,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60185300,,1775818,BALIKPAPAN,,,,60007301,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990303889,990303889,,aodofficer,Acquiring Operation Department,Batam,29701506,,,Batam,,,,24107207,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990303737,990303737,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3085129,Bandung,,,,59107609,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990303662,990303662,,aodofficer,Acquiring Operation Department,Bandung,41139300,,2961754,Bandung,,,,59101501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,990303146,990303146,,aodofficer,Acquiring Operation Department,MEDAN,50591500,,,MEDAN,,,-,56009101,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,980703003,980703003,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3085156,Bandung,,,,59107610,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,980334789,980334789,,aodofficer,Acquiring Operation Department,Padang,26360700,,,Batam,,,,88106801,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,980210601,980210601,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60142706,,2961783,BALIKPAPAN,,,,60001506,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,980166167,980166167,,aodofficer,Acquiring Operation Department,Padang,26270300,,,Batam,,,,87007701,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,975006170,975006170,,aodofficer,Acquiring Operation Department,Batam,29709902,,,Batam,,,,24108003,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,975004954,975004954,,aodofficer,Acquiring Operation Department,MEDAN,50650800,,,MEDAN,,,-,56105103,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,973687414,973687414,,aodofficer,Acquiring Operation Department,Padang,26352300,,,Batam,,,,88106001,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,970030612,970030612,,aodofficer,Acquiring Operation Department,MEDAN,50310204,,,MEDAN,,,-,53000106,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,961700014,961700014,,aodofficer,Acquiring Operation Department,Batam,29621702,,,Batam,,,,23108603,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,953651234,953651234,,aodofficer,Acquiring Operation Department,Batam,29157560,,,Batam,,,,20005566,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,951833049,951833049,,aodofficer,Acquiring Operation Department,MEDAN,50712500,,,MEDAN,,,-,57102001,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,951109771,951109771,,aodofficer,Acquiring Operation Department,Banjarmasin,62115300,,3180686,BALIKPAPAN,,,,65007101,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,945020840,945020840,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3085064,Bandung,,,,59107928,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,944818976,944818976,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60336500,,659433,BALIKPAPAN,,,,61100601,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,935025426,935025426,,aodofficer,Acquiring Operation Department,Batam,29701502,,,Batam,,,,24107203,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,930311967,930311967,,aodofficer,Acquiring Operation Department,Bandung,41019200,,2927983,Bandung,,,,58100501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,930311967,930311967,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3084905,Bandung,,,,59107601,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,924615491,924615491,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60318100,,1775868,BALIKPAPAN,,,,60108701,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,923576258,923576258,,aodofficer,Acquiring Operation Department,PALEMBANG,10014700,,101774243,BATAM,,,,79002201,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,870003001,870003001,,aodofficer,Acquiring Operation Department,Sampit,74302900,,,BALIKPAPAN,,,,74300101,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,480103153,480103153,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3085150,Bandung,,,,59107603,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,300203787,300203787,,aodofficer,Acquiring Operation Department,Jambi,94358700,,,Batam,,,,84005801,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200245698,200245698,,aodofficer,Acquiring Operation Department,SOLO,43901900,,2961831,YOGYAKARTA,,,-,4600 11 14,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200236987,200236987,,aodofficer,Acquiring Operation Department,MAGELANG,36543901,,3180720,YOGYAKARTA,,,-,3600 85 02,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200209888,200209888,,aodofficer,Acquiring Operation Department,YOGYAKARTA,36819301,,3084841,YOGYAKARTA,,,-,3801 74 02,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200208087,200208087,,aodofficer,Acquiring Operation Department,Jepara,30589500,,3085078,Semarang,,,,52006201,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200208075,200208075,,aodofficer,Acquiring Operation Department,YOGYAKARTA,43714312,,3084929,YOGYAKARTA,,,-,4500 85 13,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200208064,200208064,,aodofficer,Acquiring Operation Department,Semarang,30590300,,3084836,Semarang,,,,52006301,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200208055,200208055,,aodofficer,Acquiring Operation Department,Semarang,30606100,,3085074,Semarang,,,,52007801,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200208046,200208046,,aodofficer,Acquiring Operation Department,Jepara,30589500,,3085077,Semarang,,,,52006203,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200208016,200208016,,aodofficer,Acquiring Operation Department,Semarang,30607900,,3085052,Semarang,,,,52007901,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200208006,200208006,,aodofficer,Acquiring Operation Department,Semarang,30585300,,3084835,Semarang,,,,52005807,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207963,200207963,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60275702,,3180839,BALIKPAPAN,,,,60104403,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207961,200207961,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60224909,,3180690,BALIKPAPAN,,,,61001510,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207950,200207950,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60248100,,3084899,BALIKPAPAN,,,,60101701,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207939,200207939,,aodofficer,Acquiring Operation Department,Sampit,74323300,,3180666,BALIKPAPAN,,,,51001401,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207937,200207937,,aodofficer,Acquiring Operation Department,BINJAI,50410306,,,MEDAN,,,-,54000115,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207931,200207931,,aodofficer,Acquiring Operation Department,MEDAN,50495503,,,MEDAN,,,-,54009304,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207923,200207923,,aodofficer,Acquiring Operation Department,Pekanbaru,53123300,,,Batam,,,,53200701,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207922,200207922,,aodofficer,Acquiring Operation Department,MEDAN,50665900,,,MEDAN,,,-,56107001,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207905,200207905,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60224905,,3180817,BALIKPAPAN,,,,61001506,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207901,200207901,,aodofficer,Acquiring Operation Department,MEDAN,50689100,,,MEDAN,,,-,56109501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207885,200207885,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961675,Bandung,,,,58004534,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207842,200207842,,aodofficer,Acquiring Operation Department,Pontianak,27221500,,3180768,BALIKPAPAN,,,,88004901,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207838,200207838,,aodofficer,Acquiring Operation Department,Pontianak,27223100,,3085118,BALIKPAPAN,,,,88005001,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207778,200207778,,aodofficer,Acquiring Operation Department,Bandung,40956802,,2961624,Bandung,,,,59107613,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207769,200207769,,aodofficer,Acquiring Operation Department,PALU,78041500,,,MAKASSAR,,,,80009401,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207714,200207714,,aodofficer,Acquiring Operation Department,MANADO,79056304,,1.00E+11,MAKASSAR,,,,86004005,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207709,200207709,,aodofficer,Acquiring Operation Department,MANADO,79039104,,1.00E+11,MAKASSAR,,,,86002305,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207692,200207692,,aodofficer,Acquiring Operation Department,Bandung,40995000,,3085063,Bandung,,,,58008401,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207670,200207670,,aodofficer,Acquiring Operation Department,Bandung,40956802,,2927985,Bandung,,,,59107915,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207659,200207659,,aodofficer,Acquiring Operation Department,Pontianak,27257301,,3180766,BALIKPAPAN,,,,88008702,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207617,200207617,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3180741,Bandung,,,,59107606,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207611,200207611,,aodofficer,Acquiring Operation Department,Bandung,40985000,,3035065,Bandung,,,,58008001,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207610,200207610,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3180700,Bandung,,,,59107923,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207579,200207579,,aodofficer,Acquiring Operation Department,Bengkulu,99933100,,,Batam,,,,82003301,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207560,200207560,,aodofficer,Acquiring Operation Department,Pontianak,27261500,,3180582,BALIKPAPAN,,,,88009101,purchase
